"BU Captains: 1 Arnold, 7 Lovett, 55 Newman, 93 Lynch
                                                        
                                                                UT Captains: 6 Duvernay, 9 Johnson, 19 Jones, 56 Shackelford
                                                            
                                                                Texas wins toss, defers; Baylor receives, defends north end zone."
3rd and 9 at UT27,"Brewer,Charlie pass incomplete to Atkinson,Jared, PENALTY UT pass interference (Jalen Green) 15 yards to the UT12, 1ST DOWN BU, NO PLAY."
1st and 10 at UT12,"Brewer,Charlie pass complete to Mims,Denzel for 12 yards to the UT0, 1ST DOWN BU, TOUCHDOWN, clock 01:20."
1st and GOAL at UT03,"Mayers,John kick attempt good."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 65 yards to the UT0, touchback."
Total,"9 plays , 60 yards Time of Possession: 4:19"
Texas at 01:20
1st and 10 at UT25,TEXAS drive start at 01:20.
1st and 10 at UT25,"Sam Ehlinger rush for 5 yards to the UT30 (Ogbonnaya,Chidi;Bernard,Terrel)."
2nd and 5 at UT30,"Roschon Johnson rush for 10 yards to the UT40, 1ST DOWN UT (Miller,Chris;Black,Henry)."
1st and 10 at UT40,"Roschon Johnson rush for 5 yards to the UT45 (Black,Henry)."
2nd and 5 at UT45,Sam Ehlinger pass incomplete to Malcolm Epps.
3rd and 5 at UT45,"Sam Ehlinger pass complete to Devin Duvernay for 6 yards to the BU49, 1ST DOWN UT (Houston,Jameson)."
""
1st and 10 at BU49,"Start of 4th quarter, clock 15:00."
1st and 10 at BU49,Sam Ehlinger pass incomplete to Roschon Johnson.
2nd and 10 at BU49,"Sam Ehlinger pass intercepted by Arnold,Grayland at the BU9, Arnold,Grayland return 26 yards to the BU35 (Roschon Johnson)."
Total,"7 plays , 26 yards Time of Possession: 1:40"
Baylor at 14:40
1st and 10 at BU35,BAYLOR drive start at 14:40.
1st and 10 at BU35,"Lovett,John rush for 9 yards to the BU44, out-of-bounds."
2nd and 1 at BU44,"Lovett,John rush for 2 yards to the BU46, 1ST DOWN BU (Joseph Ossai;Ta'Quon Graham)."
1st and 10 at BU46,"Brewer,Charlie pass incomplete to Thornton,Tyquan (D'Shawn Jamison), PENALTY UT pass interference (D'Shawn Jamison) 15 yards to the UT39, 1ST DOWN BU, NO PLAY."
1st and 10 at UT39,"Timeout Baylor, clock 13:22."
1st and 10 at UT39,"Brewer,Charlie rush for 1 yard to the UT38 (Caden Sterns)."
2nd and 9 at UT38,"Brewer,Charlie pass complete to Mims,Denzel for 26 yards to the UT12, 1ST DOWN BU (Caden Sterns;Jalen Green)."
1st and 10 at UT12,"Lovett,John rush for 1 yard to the UT11 (Marqez Bimage).
                                                    
                                                                Injury timeout: #63 Fruhmorgen (BU)."
2nd and 9 at UT11,"Brewer,Charlie rush for 5 yards to the UT6 (Jeff McCulloch;Ta'Quon Graham).
                                                    
                                                                Injury timeout: #12 Brewer (BU)."
3rd and 4 at UT06,"Bohanon,Gerry at QB for Baylor."
3rd and 4 at UT06,"Timeout Baylor, clock 11:06."
3rd and 4 at UT06,"Bohanon,Gerry pass incomplete to Mims,Denzel."
4th and 4 at UT06,"Mayers,John field goal attempt from 24 GOOD, clock 10:57."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 65 yards to the UT0, touchback."
Total,"8 plays , 59 yards Time of Possession: 3:43"
Texas at 10:57
1st and 10 at UT25,TEXAS drive start at 10:57.
1st and 10 at UT25,Sam Ehlinger rush for 5 yards to the UT30.
2nd and 5 at UT30,"Sam Ehlinger pass complete to Devin Duvernay for 2 yards to the UT32 (Arnold,Grayland)."
3rd and 3 at UT32,"Sam Ehlinger rush for 6 yards to the UT38, 1ST DOWN UT (Bernard,Terrel;Lynch,Blake)."
1st and 10 at UT38,"Sam Ehlinger pass complete to Roschon Johnson for 6 yards to the UT44 (Bernard,Terrel)."
2nd and 4 at UT44,"Sam Ehlinger pass complete to Malcolm Epps for 18 yards to the BU38, 1ST DOWN UT (Woods,J.T.)."
1st and 10 at BU38,"Sam Ehlinger pass complete to Devin Duvernay for 6 yards to the BU32 (Bernard,Terrel)."
2nd and 4 at BU32,Sam Ehlinger pass incomplete to Brennan Eagles.
3rd and 4 at BU32,"Sam Ehlinger pass complete to Malcolm Epps for loss of 1 yard to the BU33 (Barnes,Kalon), PENALTY UT personal foul (Zac Shackelford) 15 yards to the BU47, NO PLAY."
3rd and 19 at BU47,PENALTY UT unsportsmanlike conduct (Parker Braun) 15 yards to the UT38.
3rd and 34 at UT38,"Sam Ehlinger pass incomplete to Malcolm Roach (Lynch,James), QB hurry by Lynch,James."
4th and 34 at UT38,"Chris Naggar punt 51 yards to the BU11, downed."
Total,"8 plays , 13 yards Time of Possession: 3:24"
Baylor at 07:33
1st and 10 at BU11,BAYLOR drive start at 07:33.
1st and 10 at BU11,"PENALTY BU false start (Tecklenburg,Sam) 5 yards to the BU6."
1st and 15 at BU06,"Bohanon,Gerry rush for 4 yards to the BU10 (Joseph Ossai)."
2nd and 11 at BU10,"Bohanon,Gerry rush for 1 yard to the BU11 (Joseph Ossai)."
3rd and 10 at BU11,"Timeout Baylor, clock 06:03."
3rd and 10 at BU11,"Bohanon,Gerry pass complete to Platt,Chris for 7 yards to the BU18 (Malcolm Roach), PENALTY BU illegal block declined."
4th and 3 at BU18,"Power,Issac punt 40 yards to the UT42, fair catch by Brandon Jones."
Total,"3 plays , 7 yards Time of Possession: 1:56"
Texas at 05:37
1st and 10 at UT42,TEXAS drive start at 05:37.
1st and 10 at UT42,"Sam Ehlinger pass complete to Jake Smith for 6 yards to the UT48 (Barnes,Kalon)."
2nd and 4 at UT48,"Sam Ehlinger rush for 5 yards to the BU47, 1ST DOWN UT, out-of-bounds."
1st and 10 at BU47,Sam Ehlinger pass incomplete to Roschon Johnson.
2nd and 10 at BU47,"Sam Ehlinger pass complete to Al'Vont Woodard for 14 yards to the BU33, 1ST DOWN UT (Barnes,Kalon)."
1st and 10 at BU33,"Sam Ehlinger pass complete to Jake Smith for 10 yards to the BU23, 1ST DOWN UT (Texada,Raleigh)."
1st and 10 at BU23,"Sam Ehlinger pass incomplete to Al'Vont Woodard (Houston,Jameson)."
2nd and 10 at BU23,"Sam Ehlinger sacked for loss of 7 yards to the BU30 (Lynch,James)."
3rd and 17 at BU30,"Timeout Texas, clock 03:36."
3rd and 17 at BU30,Sam Ehlinger pass incomplete to Chris Brown.
4th and 17 at BU30,"Sam Ehlinger pass incomplete to Brennan Eagles (Arnold,Grayland), QB hurry by Lockhart,James."
Total,"9 plays , 28 yards Time of Possession: 2:15"
Baylor at 03:22
1st and 10 at BU30,BAYLOR drive start at 03:22.
1st and 10 at BU30,BU ball on BU31.
1st and 10 at BU31,"PENALTY UT unsportsmanlike conduct (Dere Kerstetter) 15 yards to the BU46, 1ST DOWN BU."
1st and 10 at BU46,"Bohanon,Gerry rush for 4 yards to the 50 yardline, out-of-bounds (Jalen Green), PENALTY BU holding (Hasty,JaMycal) 10 yards to the BU40."
1st and 16 at BU40,1st and 16.
1st and 16 at BU40,"Hasty,JaMycal rush for 3 yards to the BU43 (Sam Ehlinger)."
